,Location,Latitude,Longitude,D.O (%) short rainy season,D.O (%) dry short season,pH short rainy season,pH dry short season,Turbidity (NTU) short rainy season,Turbidity (NTU) dry short season,Conductivity (μs/cm) short rainy season,Conductivity (μs/cm) dry short season,TDS (mg/l) short rainy season,TDS (mg/l) dry short season,TSS (mg/l) short rainy season,TSS (mg/l) dry short season
0,Mwogo River Up,2.34728,29.665,60.3,56.7,6.8,7.0,416.0,105.0,55.0,73.0,27.0,37.0,275.0,40.0
1,Kivu Lake at Karongi (Beach Golf Hotel),2.06146,29.34721,97.6,103.7,9.0,8.9,2.6,3.9,1158.0,1030.0,568.0,489.0,8.0,1.0
2,Rukarara River Upstream,2.45395,29.45495,99.2,102.1,7.2,7.5,22.8,48.3,25.0,31.0,14.0,17.0,9.0,16.0
3,Mbirurume River Downstream,2.20426,29.55975,98.3,97.0,7.2,7.4,191.0,120.0,47.0,51.0,23.0,25.0,103.0,57.0
4,Nyabarongo River after receiving Mwogo and Mbirurume Rivers,2.1994,29.57589,94.5,93.2,7.2,7.3,353.0,176.0,44.0,52.0,22.0,25.0,183.0,78.0
5,Rusizi River at Kamanyola Bridge,2.70689,29.0069,95.8,97.6,9.1,9.0,27.8,61.0,1112.0,932.0,558.0,459.0,18.0,22.0
6,Kivu Lake at Kamembe Port,2.48035,28.89748,97.4,99.4,9.1,9.0,2.8,3.2,1123.0,984.0,542.0,480.0,1.0,1.0
7,Rubyiro River at Bridge Bugarama - Ruhwa Road,2.70612,29.03118,88.4,92.2,7.5,7.3,357.5,250.0,221.0,183.0,109.0,88.0,217.0,131.0
8,Ruhwa River at bridge Ruhwa border,2.73086,29.041,93.4,99.5,7.3,7.1,557.5,399.0,65.0,56.0,33.0,28.0,275.0,213.0
9,Akanyaru River Gihinga,2.26683,29.96704,86.4,39.2,6.9,6.9,429.0,405.0,67.0,84.0,32.0,40.0,255.0,165.0
10,Akanyaru River border to Burundi,2.79163,29.66645,99.1,101.9,6.8,7.5,11600.0,1055.0,28.0,35.0,15.0,17.0,3625.0,389.0
11,Secoko River before discharging into Nyabarongo,2.00726,29.62813,89.3,97.1,7.2,6.8,1820.0,920.0,33.0,39.0,16.0,18.0,1617.0,417.0
12,Muhazi Upstream,1.85218,30.48203,89.3,104.3,8.6,8.7,1.9,5.9,527.0,473.0,254.0,223.0,4.0,2.0
13,Rugezi before discharging into Burera Lake,1.42133,29.83245,50.2,41.3,5.9,6.3,21.4,15.9,33.0,30.0,18.0,17.0,10.0,8.0
14,Muvumba River entering Rwanda from Uganda,1.34805,30.17089,91.6,97.5,7.4,7.3,544.0,175.0,153.0,132.0,81.0,68.0,320.0,79.0
15,Warufu River,1.51034,30.19944,92.4,66.5,7.4,6.9,547.0,81.0,112.0,92.0,55.0,44.0,315.0,32.0
16,Muvumba at Kagitumba,1.05257,30.45974,85.3,99.5,7.8,7.4,460.0,120.0,279.0,238.0,134.0,115.0,303.0,59.0
17,Sebeya River at Musabike,1.7238,29.36636,97.2,100.0,7.0,7.0,1865.0,1390.0,65.0,67.0,35.0,35.0,854.0,605.0
18,Sebeya River at Nyundo Station,1.70253,29.32707,95.2,102.6,7.4,7.5,2015.0,1080.0,72.0,76.0,39.0,40.0,1017.0,480.0
19,Kivu Lake Gisenyi Beach,1.70765,29.2607,111.4,119.6,9.2,9.1,2.3,6.2,973.0,985.0,484.0,475.0,1.0,1.0
20,Muvumba after mixing with Warufu,1.29241,30.31907,88.5,90.7,7.2,7.0,505.0,148.0,200.0,192.0,103.0,99.0,318.0,68.0
21,Akagera Rusumo Border,2.38473,30.77935,38.9,18.0,7.7,6.5,424.0,96.8,137.0,122.0,70.0,59.0,256.0,52.0
22,Mukungwa iver Before receiving Nyabarongo,1.73373,29.65553,98.8,101.6,8.2,8.4,546.0,131.0,270.0,315.0,141.0,162.0,344.0,54.0
23,Nyabarongo River before receiving Mukungwa,1.73567,29.6592,92.1,98.1,7.7,7.4,1267.0,690.0,41.0,44.0,20.0,21.0,744.0,265.0
24,Mukungwa River at Nyakinama gaugng station,1.55369,29.64424,95.7,91.3,8.1,8.6,50.8,22.5,248.0,293.0,129.0,151.0,22.0,12.0
25,Nyabarongo at Ruliba,1.9626,30.00369,90.5,96.9,7.9,7.9,1080.0,921.0,174.0,142.0,87.0,71.0,662.0,321.0
26,Nyabugogo River downstream,1.94741,30.02146,81.8,81.6,8.2,7.8,464.0,405.0,297.0,271.0,149.0,134.0,314.0,168.0
27,Nyabugogo River Upstream,1.79237,30.14936,78.2,77.5,7.5,7.5,4.0,28.1,457.0,390.0,223.0,191.0,4.0,6.0
28,Muhazi Downstream,1.80338,30.18005,101.4,77.4,8.5,7.9,6.9,12.8,490.0,416.0,234.0,196.0,13.0,4.0
29,Akagera at Kanzenze Bridge,2.06215,30.08637,58.8,78.3,7.4,7.1,2010.0,633.0,139.0,125.0,68.0,63.0,1010.0,241.0
30,Borehole at Gatsibo-Kabarore-Simbwa-Ruhuha,1.54556,30.35728,63.1,33.9,6.5,6.2,2.1,7.7,344.0,244.0,164.0,115.0,1.0,3.0
31,Borehole at Kayonza-Mukarange-Agatebe,1.87684,30.51283,51.6,60.1,6.1,6.1,2.0,4.2,184.0,162.0,86.0,76.0,1.0,1.0
32,Artesian Well,1.87051,30.59981,20.1,18.3,6.4,6.2,2.0,0.8,156.0,171.0,73.0,80.0,1.0,1.0
33,Borehole at Gatsibo-Rugarama-KanyangeseUmunini,1.6771,30.4087,36.4,0.0,6.2,0.0,1.8,0.0,458.0,0.0,225.0,0.0,1.0,0.0
34,Public Borehole at Giticyinyoni,1.94817,30.2527,61.9,54.4,5.9,5.7,1.2,3.2,308.0,297.0,154.0,140.0,1.0,4.0
35,Public Borehole at Nyandungu,1.96322,30.15775,46.6,73.1,6.0,5.6,1.4,1.8,348.0,282.0,170.0,133.0,1.0,4.0
