STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
19,"WELL AT ELOOR, KERALA",Kerala,27,29,28,6.2,6.7,6.5,52,194,123,0.6,0.9,0.8,0.29,4,2.3,2,200,101,500,700,600
22,"WELL AT CHUNGAPALLY, KERALA",Kerala,27,28,28,6.5,6.8,6.7,128,133,131,0.6,0.8,0.7,0.7,2,1,60,110,85,170,220,195
35,"WELL AT PUNALUR, KERALA",Kerala,23,24,24,5.6,5.8,5.7,214,280,247,0.5,0.6,0.6,8.1,8,5,11,11,11,40,50,45
1581,"PAPPANAMKODE, THIRUVANANTHAPURAM, KERALA",Kerala,29,29,29,5.4,6,5.7,310,370,340,1,1.1,1.1,0,1,0,50,110,80,90,300,195
1582,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",Kerala,29,30,29,6.6,7.2,6.9,153,180,167,0.8,0.8,0.8,0,1,0,20,70,45,70,210,140
1583,"KUNDARA, KOLLAM DISTT. , KERALA",Kerala,23,23,23,4.7,4.8,4.8,76,92,84,0.5,0.5,0.5,4.3,4,3,10,11,11,110,140,125
1584,"CHERTHALA, ALLEPPY, KERALA",Kerala,28,28,28,7.5,7.6,7.6,145,268,207,1.9,3.2,2.6,0.04,0,0,170,280,225,270,500,385
1585,"VYTTILA, ERNAKULAM DISTT. , KERALA",Kerala,29,29,29,7.6,7.7,7.7,149,740,445,1.3,1.6,1.5,6.79,7,0,2,500,251,480,2600,1540
1586,"EDAYAR ERNAKULAM DISTT., KERALA",Kerala,27,28,27,5.6,6,5.8,105,140,123,0.5,0.7,0.6,0.77,2,1,2,170,86,4,1100,552
1587,"KALAMASSERY ERNAKULAM DISTT. , KERALA",Kerala,27,28,27,6.1,6.1,6.1,210,308,259,0.3,0.7,0.5,6.96,8,7,2,240,121,40,900,470
1589,"MALAPURAM , KERALA",Kerala,28,29,29,6.5,7,6.8,182,260,221,1.1,1.1,1.1,0.28,6,0,20,40,30,110,400,255
1590,"MAVOOR, KOZHIKKODE DISTT. , KERALA",Kerala,24,26,25,6.6,6.7,6.7,83,108,96,0.5,0.6,0.6,1.6,2,2,2,340,171,8,600,304
1591,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",Kerala,28,28,28,4.7,6.6,5.7,108,153,131,0.4,0.6,0.5,1.6,3,2,40,120,80,210,300,255
1592,"PAYYANNUR, KANNUR DISTT. , KERALA",Kerala,27,30,29,5.8,6.1,6,176,200,188,0.2,3.4,1.8,2.7,3,1,11,80,46,90,110,100
2308,FATHIMAPURAM (CHANGANASSERY),Kerala,27,29,28,6.9,7,7,138,357,248,0.3,0.8,0.6,1.94,2,2,200,210,205,400,600,500
2309,KAROOR (PALA),Kerala,28,29,28,6.1,6.7,6.4,102,169,136,0.4,0.5,0.5,2.71,5,3,300,310,305,500,600,550
2310,VAIKOM,Kerala,27,28,28,6.6,6.9,6.8,128,177,153,0.4,0.7,0.6,2.75,5,3,200,400,300,400,1100,750
2311,VADAVATHOOR (KOTTAYAM),Kerala,28,29,28,6.1,7.1,6.6,100,146,123,0.6,1,0.8,1.93,2,2,70,200,135,210,400,305
2313,"SARVODAPURAM, ALAPPUZHA",Kerala,28,28,28,7.8,7.9,7.9,225,225,225,0.3,0.8,0.6,0,0,0,400,540,470,600,800,700
2314,KUREEPUZHA (KOLLAM),Kerala,23,24,23,5.5,6,5.8,172,220,196,1.2,1.5,1.4,5.2,8,5,21,27,24,110,120,115
2315,K.M.M.L. (KOLLAM),Kerala,24,25,24,8.2,8.4,8.3,450,520,485,2,2.4,2.2,3.3,3,2,11,11,11,50,80,65
2316,CHELLORA TRENCHING GROUND (KANNUR),Kerala,27,28,27,4.8,6.7,5.8,40,49,45,0.3,0.9,0.6,1.3,1,1,2,90,46,4,210,107
2317,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,Kerala,27,30,28,5.4,5.9,5.7,139,302,221,0.7,0.7,0.7,3.5,6,4,11,7.4,255,260,800,530
2320,MANJERI,Kerala,28,29,29,6.5,6.7,6.6,144,190,167,0.4,0.6,0.5,2.6,5,3,140,500,320,270,700,485
2321,LALOOR (THRISSUR),Kerala,28,30,29,4.3,7.3,5.8,300,348,324,0.3,2.4,1.4,4.7,9,5,20,170,95,130,1300,715
2322,OLLUR (THRISSUR),Kerala,29,30,30,4.1,6.8,5.5,240,319,280,1.1,1.4,1.3,1.4,2,1,20,40,30,110,180,145
2323,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),Kerala,28,28,28,6.1,6.3,6.2,279,370,325,0.8,1.6,1.2,1.11,1,0,110,300,205,600,1300,950
2324,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),Kerala,27,28,27,5.8,6.8,6.3,50,1670,860,0.6,0.8,0.7,0.66,1,0,2,300,151,4,1400,702
2327,KARUKAMANI,Kerala,29,30,30,8.4,8.7,8.6,650,699,675,0.4,0.6,0.5,0.05,3,0,60,1100,580,80,1600,840
3463,"WELL AT VELLIPARAMBA, KOZHEKODE",Kerala,27,28,28,6.5,6.7,6.6,85,118,102,1,1.2,1.1,1,5,1,280,1200,740,430,3400,1915
3472,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",Kerala,27,29,28,6.8,7,6.9,430,1094,762,0.9,1,1,2,2,1,90,400,245,210,500,355
3474,"WELL AT PAYANOOR, KANNUR",Kerala,26,30,28,4.9,6.9,5.9,174,240,207,0.6,3.4,2,3.1,3,2,110,800,455,540,1600,1070
3475,"WELL AT KARIMBAM, KANNUR",Kerala,27,28,28,4.5,5.4,5,54,110,82,0.1,0.3,0.2,1.5,2,2,0,80,40,31,240,136
